SC  LATITUDE  LONGITUDE  "Popular" or USGS Spring Name        TF   TC   P.P. 492  Circ. 790  NOAA  AMS                    USGS Quadrangle
NM   33.1620   -108.209  SPRING (HOT)                         111   44        32       null    14  CLIFTON                GILA HOT SPRINGS 7.5         
NM   34.8080   -107.091  SPRING (SALT)                         86   30      null       null     8  SOCORRO                SOUTH GARCIA SE 7.5          
NM   34.7690   -107.085  SPRING (SALT)                         78   26      null       null    10  SOCORRO                SOUTH GARCIA SE 7.5          
NM   34.8470   -107.091  SPRING (SALT)                         76   24         2       null     5  SOCORRO                SOUTH GARCIA SE 7.5          
NM   33.2740   -108.250  SPRING MFG FOUR                       93   34      null       null     6  CLIFTON                (WOODLAND PARK 7.5)          
NM   33.2850   -108.262  SPRING MFG ONE                        88   31      null       null     5  CLIFTON                (WOODLAND PARK 7.5)          
NM   33.2930   -108.282  SPRING MFG TWO, SPRING MFG THREE      99   37      null       null     4  CLIFTON                (WOODLAND PARK 7.5)          
NM   36.3680   -106.059  STATUE SPRING                         83   28      null       null     1  AZTEC                  OJO CALIENTE 7.5             
NM   35.9080   -106.615  SULPHUR SPRINGS                      189   87        12       171      3  ALBUQUERQUE            VALLE SAN ANTONIO 7.5        
NM   33.3060   -108.324  THE MEADOWS WARM SPRING               91   33      null       null     3  CLIFTON                (WOODLAND PARK 7.5)          
NM   33.1350   -107.254  TRUTH OR CONSEQUENCES                113   45        37       null     3  TULAROSA               CUCHILLO 7.5                 
NM   33.1080   -108.483  TURKEY CREEK HOT SPRING              165   74        29       null    15  CLIFTON                (CANYON HILL 7.5)            
NM   33.2790   -107.563  WARM SPRINGS                          87   31      null       null     2  TULAROSA               CHISE 7.5                    
NM   35.6460   -106.888  WARM SPRINGS                         129   54      null       null     8  ALBUQUERQUE            HOLY GHOST SPRING 7.5        
NM   34.3260   -107.095  null                                  72   22      null       null    12  SOCORRO                (RILEY 15)                   
NM   34.1580   -108.319  null                                  72   22      null       null     2  SAINT JOHNS            null                         
NM   35.3080   -106.471  null                                  68   20      null       null    13  ALBUQUERQUE            (PLACITAS 7.5)               
NM   36.5280   -105.713  null                                 106   41      null       null     1  RATON                  (ARROYO HONDO 7.5)           
NM   32.9530   -107.580  null                                  94   35      null       null     1  LAS CRUCES             (HILLSBORO 15)               
NM   32.6930   -107.811  null                                  72   22      null       null     4  LAS CRUCES             (DWYER 15)                   
NM   32.9750   -108.631  null                                  77   25      null       null     1  SILVER CITY            (CLIFF 15)                   
NM   32.8990   -109.035  null                                  69   21      null       null     1  SILVER CITY            (YORK VALLEY 15)             
NM   33.8130   -106.971  null                                  70   21      null       null     1  TULAROSA               (SAN ANTONIO 15)             
NM   33.2580   -108.233  null                                  94   34      null       null     7  CLIFTON                (BURNT CORRAL CANYON 7.5)    
NM   33.2120   -108.228  null                                 149   65      null       null    11  CLIFTON                (GILA HOT SPRINGS 7.5)       
NM   34.2640   -106.883  null                                  70   21      null       null     2  SOCORRO                (SAN ACACIA 7.5)             
NM   34.9160   -107.143  null                                  68   20      null       null     1  SOCORRO                (SOUTH GARCIA 15)            
NM   34.8830   -107.092  null                                  73   23      null       null     3  SOCORRO                (SOUTH GARCIA 7.5)           
NM   34.8150   -107.388  null                                  68   20      null       null     7  SOCORRO                (MARMON RANCH 7.5)           
NM   34.7910   -107.091  null                                  80   27      null       null     9  SOCORRO                (SOUTH GARCIA SE 7.5)        
NV   39.5650   -118.856  (SODA LAKE AREA)                     210   99      null       144      3  RENO                   SODA LAKE 15                 
NV   38.3650   -115.867  ABEL SPRING                          115   46      null       null    17  LUND                   THE WALL SE 7.5              
NV   37.8250   -117.337  ALKALI HOT SPRING                    140   60       112       null     3  GOLDFIELD              ALKALI 7.5                   
NV   39.9440   -119.509  ANAHO ISLAND SPRING                  120   49        52       null     2  RENO                   (SUTCLIFFE 15)               
NV   36.9420   -115.425  ASH CREEK SPRING                      72   22      null       null     1  LAS VEGAS              (DOG BONE LAKE NORTH 7.5)    
NV   37.4630   -115.192  ASH SPRINGS                           97   36       149       null     4  CALIENTE               ASH SPRINGS 7.5              
NV   36.4260   -116.411  ASH TREE SPRING                       75   24      null       null    14  DEATH VALLEY           (ASH MEADOWS 15)             
NV   41.9210   -118.709  BALTAZOR HOT SPRING                  181   83      null       130      3  VYA                    DENIO 15                     
NV   39.5580   -116.360  BARTINE HOT SPRINGS                  108   42        93       null     7  MILLETT                BARTINE RANCH 15             
NV   36.9180   -116.744  BEATTY MUNICIPAL SPRING               88   31      null       null     5  DEATH VALLEY           BARE MTN. 15                 
NV   37.7830   -114.528  BENNETT SPRINGS                       70   21       144       null     4  CALIENTE               BENNETT PASS 7.5             
NV   40.5670   -116.588  BEOWAWE HOT SPRINGS (THE GEYSERS)    208   98        77       162      9  WINNEMUCCA             DUNPHY 15                    
NV   36.3750   -116.274  BIG (ASH MEADOWS) SPRING              83   28      null       null    23  DEATH VALLEY           ASH MEADOWS 15               
NV   38.9540   -117.049  BIG BLUE (A) SPRING                   90   32      null       null     2  TONOPAH                CARVERS NE 7.5               
NV   39.0720   -115.635  BIG BLUE SPRING                        W    W      null       null     3  ELY                    GREEN SPRINGS 15             
NV   38.9500   -115.700  BIG WARM SPRING                       93   34       122       null     2  LUND                   DUCKWATER 15                 
NV   40.9720   -119.007  BLACK ROCK HOT SPRING                136   58        16       134      1  LOVELOCK               null                         
NV   38.5630   -115.528  BLUE EAGLE SPRINGS                    84   29       128       null     8  LUND                   BLUE EAGLE SPRINGS 15        
NV   36.3890   -114.433  BLUE POINT SPRING                     82   28      null       null     5  LAS VEGAS              OVERTON BEACH 15             
NV   41.9250   -118.805  BOG HOT SPRINGS                      131   55         2       null     2  VYA                    RAILROAD POINT 15            
NV   40.2620   -119.379  BOILING SPRINGS                      187   86        50       null    11  LOVELOCK               KUMIVA PEAK 15               
NV   36.3630   -116.271  BOLE SPRING                           72   22      null       null    24  DEATH VALLEY           ASH MEADOWS 15               
NV   39.3420   -118.578  BORAX SPRING                         180   82        74       null     5  RENO                   (CARSON LAKE 15)             
NV   39.2860   -119.840  BOWERS MANSION HOT SPRING            133   56        57       null    15  RENO                   WASHOE CITY 7.5              
NV   39.7870   -119.011  BRADYS HOT SPRINGS                   209   98        72       147      4  RENO                   FIREBALL RIDGE 15            
NV   40.8290   -117.306  BROOKS SPRING                         93   34        19       null     7  WINNEMUCCA             BROOKS SPRING 7.5            
NV   36.0330   -115.888  BROWNS SPRING                         75   24      null       null     9  LAS VEGAS              PAHRUMP 15                   
NV   40.2200   -116.068  BRUFFEYS HOT SPRINGS                 149   65        90       null    15  WINNEMUCCA             MINERAL HILL 15              
NV   40.4180   -117.415  BUFFALO SPRINGS                      162   72      null       null    11  WINNEMUCCA             BUFFALO SPRINGS 15           
NV   40.3680   -117.327  BUFFALO VALLEY HOT SPRINGS           174   79        78       158     13  WINNEMUCCA             BUFFALO SPRINGS 15           
NV   36.9680   -116.723  BURRELL HOT SPRING                   102   39      null       null     3  DEATH VALLEY           BARE MTN. 15                 
NV   40.7700   -119.113  BUTTE SPRINGS (TREGO HOT SPRINGS)    187   86        63       135      5  LOVELOCK               null                         
NV   38.4400   -115.011  BUTTERFIELD SPRINGS                   75   24       136       null    12  LUND                   SUNNYSIDE 7.5                
NV   36.4280   -116.303  BUTTON SPRINGS                        93   34      null       null    13  DEATH VALLEY           ASH MEADOWS 15               
NV   41.0220   -119.275  CAINE SPRING                          73   23      null       null    23  VYA                    null                         
NV   37.6210   -114.510  CALIENTE HOT SPRINGS                 118   48       146       null     5  CALIENTE               (CALIENTE 7.5)               
NV   39.5470   -114.915  CAMPBELL RANCH SPRINGS                76   24       100       null     6  ELY                    null                         
NV   41.2580   -118.937  CANE SPRINGS                          74   23      null       null    15  VYA                    PAIUTE MEADOWS 7.5           
NV   40.2900   -116.049  CARLOTTI RANCH SPRINGS               102   39        90       null    14  WINNEMUCCA             PINE VALLEY 15               
NV   39.1930   -119.752  CARSON HOT SPRINGS                   120   49        59       null    16  RENO                   CARSON CITY 7.5              
NV   37.7510   -116.274  CEDAR SPRING                          77   25      null       null     2  GOLDFIELD              KAWICH PEAK 15               
NV   38.9920   -117.042  CHARNOCK (BIG BLUE) SPRINGS           80   27       116       null     1  TONOPAH                CARVERS NE 7.5               
NV   39.8830   -114.893  CHERRY CREEK HOT SPRINGS             144   62        95       170      2  ELY                    null                         
NV   40.1870   -116.790  CHILLIS HOT SPRING                   102   39        82       null    17  WINNEMUCCA             CARICO LAKE 15               
NV   38.4640   -115.792  CHIMNEY WARM SPRING                  160   71       127       null    11  LUND                   THE WALL NE 7.5              
NV   40.0870   -114.647  COLLAR AND ELBOW SPRING               93   34        94       null     3  ELKO                   null                         
NV   38.3880   -115.866  COYOTE HOLE SPRING                   113   45      null       null    15  LUND                   THE WALL NE 7.5              
NV   40.7630   -119.172  COYOTE SPRING                         72   22      null       null     6  LOVELOCK               null                         
NV   40.4040   -116.517  CRESCENT VALLEY HOT SPRINGS          138   59        88       163     11  WINNEMUCCA             CRESCENT VALLEY 15           
NV   40.4170   -116.507  CRESCENT VALLEY HOT SPRINGS          138   59      null       163     10  WINNEMUCCA             CRESCENT VALLEY 15           
NV   36.4210   -116.322  CRYSTAL POOL                          91   33      null       null    16  DEATH VALLEY           ASH MEADOWS 15               
NV   37.5320   -115.233  CRYSTAL SPRINGS                       90   32       148       null     3  CALIENTE               HIKO 7.5                     
NV   38.8220   -117.183  DARROUGHS HOT SPRINGS                203   95       118       161      3  TONOPAH                CARVERS 7.5                  
NV   36.4080   -116.313  DAVIS RANCH SPRING                    70   21      null       null    18  DEATH VALLEY           (ASH MEADOWS 15)             
NV   36.4020   -116.302  DAVIS RANCH SPRINGS                   81   27      null       null    20  DEATH VALLEY           ASH MEADOWS 15               
NV   37.8600   -114.321  DELMUES SPRINGS                       70   21       144       null     2  CALIENTE               CONDOR CANYON 7.5            
NV   36.4250   -116.291  DEVILS HOLE                           92   33      null       null    15  DEATH VALLEY           ASH MEADOWS 15               
NV   39.0310   -116.666  DIANAS PUNCH BOWL                    138   59      null       null    14  MILLETT                DIANAS PUNCH BOWL 15         
NV   39.4200   -119.738  DIMONTE SPRING                       127   53        55       null    12  RENO                   (STEAMBOAT 7.5)              
NV   39.8660   -118.017  DIXIE COMSTOCK MINE                    H    H      null       null     1  RENO                   DIXIE HOT SPRINGS 15         
NV   39.7970   -118.067  DIXIE HOT SPRINGS                    162   72        71       149      2  RENO                   DIXIE HOT SPRINGS 15         
NV   39.4420   -119.743  DOUBLE DIAMOND SPRING                 84   29      null       null    10  RENO                   (STEAMBOAT 7.5)              
NV   41.0510   -119.028  DOUBLE HOT SPRINGS                   178   81        12       133     21  VYA                    null                         
NV   38.9650   -118.689  DOUBLE SPRING                          W    W       108       null     1  WALKER LAKE            GILLIS CANYON 15             
NV   38.7960   -119.650  DOUD SPRINGS                          70   21      null       null     5  WALKER LAKE            MT. SIEGEL 15                
NV   41.5670   -118.564  DYKE HOT SPRINGS                     158   70        10       131     10  VYA                    DUFFER PEAK 15               
NV   39.7330   -119.039  EAGLE SALT WORKS SPRING                H    H        73       null     5  RENO                   (TWO TIPS 15)                
NV   40.8130   -115.778  ELKO HOT SPRING                      190   88        32       166      3  ELKO                   ELKO WEST 7.5                
NV   40.6840   -116.153  ELLISON RANCH WARM SPRING              W    W      null       null     5  WINNEMUCCA             CARLIN 15                    
NV   38.6220   -115.047  EMIGRANT SPRINGS                      70   21       135       null     5  LUND                   MOORMAN SPRING SE 7.5        
NV   36.4910   -116.342  FAIRBANKS SPRING, SODA SPRING         81   27      null       null     6  DEATH VALLEY           ASH MEADOWS 15               
NV   37.9970   -118.039  FISH SPRING                           75   24      null       null     1  MARIPOSA               (DAVIS MOUNTAIN 15)          
NV   40.1030   -119.884  FISH SPRINGS                          73   23        48       null    14  LOVELOCK               STATE LINE PEAK 7.5          
NV   38.8100   -116.397  FISH SPRINGS                           W    W       121       null     3  TONOPAH                FISH SPRINGS 7.5             
NV   41.7630   -118.279  FIVEMILE SPRING                       81   27         6       null     5  VYA                    TRIDENT PEAK 15              
NV   38.4230   -115.022  FLAG SPRINGS                          75   24      null       null    13  LUND                   SUNNYSIDE 7.5                
NV   37.8960   -114.227  FLATNOSE RANCH SPRING                 77   25       144       null     1  CALIENTE               URSINE 7.5                   
NV   40.8570   -119.328  FLY RANCH (WARDS) HOT SPRINGS        180   82        37       136      3  LOVELOCK               null                         
NV   40.0790   -116.035  FLYNN RANCH SPRINGS                   78   26        91       null    19  WINNEMUCCA             MINERAL HILL 15              
NV   39.9540   -117.917  FUMAROLES                            204   96        70       null     2  MILLETT                (HUMBOLDT SALT MARSH 15)     
NV   41.3690   -114.187  GAMBLE SPRING                         69   20      null       null     9  WELLS                  MONTELLO 7.5                 
NV   41.8840   -114.117  GAMBLES HOLE                         104   40        25       null     4  WELLS                  GOOSE CREEK 15               
NV   37.9790   -117.993  GAP SPRING                            73   23      null       null     2  GOLDFIELD              RHYOLITE RIDGE 15            
NV   38.6450   -114.632  GEYSER RANCH SPRINGS                  70   21       142       null     3  LUND                   MT. GRAFTON 7.5              
NV   38.6540   -114.633  GEYSER RANCH SPRINGS                  70   21       142       null     2  LUND                   MT. GRAFTON 7.5              
NV   38.6710   -114.628  GEYSER RANCH SPRINGS                  70   21       142       null     1  LUND                   MT. GRAFTON 7.5              
NV   39.8140   -115.612  GIOCOECHA WARM SPRINGS                76   24       102       null     2  ELY                    COLD CREEK RANCH 15          
NV   40.9610   -117.494  GOLCONDA HOT SPRING (NORTH)          165   74        19       155      2  WINNEMUCCA             GOLCONDA 7.5                 
NV   40.9540   -117.488  GOLCONDA HOT SPRING (SOUTH)          151   66        19       155      3  WINNEMUCCA             GOLCONDA 7.5                 
NV   40.6620   -119.365  GREAT BOILING SPRING (GERLACH)       208   98        38       137      8  LOVELOCK               GERLACH 15                   
NV   38.2920   -114.272  HAMMOND RANCH SPRING                  84   29       143       null     5  LUND                   (TRAIL CANYON 7.5)           
NV   36.9750   -116.721  HICKS HOT SPRINGS                    109   43       138       null     2  DEATH VALLEY           BARE MTN. 15                 
NV   37.5980   -115.215  HIKO SPRING                           90   32       147       null     2  CALIENTE               HIKO 7.5                     
NV   39.0590   -119.815  HOBO HOT SPRINGS                     114   46      null       null    20  RENO                   GENOA 7.5                    
NV   40.1780   -117.496  HOME STATION RANCH HOT SPRING        135   57      null       null    18  WINNEMUCCA             MT. MOSES 15                 
NV   40.6030   -116.463  HORSESHOE RANCH SPRINGS              136   58        88       null     7  WINNEMUCCA             (BEOWAWE 15)                 
NV   38.5210   -116.365  HOT CREEK RANCH HOT SPRING           180   82      null       null     7  TONOPAH                HOBBLE CANYON 7.5            
NV   38.3830   -115.153  HOT CREEK RANCH SPRING                90   32       137       null    16  LUND                   SUNNYSIDE NW 7.5             
NV   41.5760   -115.181  HOT CREEK SPRINGS                    151   66        30       null     4  WELLS                  HOT CREEK 15                 
NV   38.4370   -116.277  HOT CREEK VALLEY SPRING              142   61       124       null     8  TONOPAH                (BLUE JAY SPRING 7.5)        
NV   40.8190   -115.777  HOT HOLE                             133   56      null       166      2  ELKO                   ELKO WEST 7.5                
NV   41.1480   -116.733  HOT LAKE                               H    H      null       null     3  MCDERMITT              SQUAW VALLEY RANCH 7.5       
NV   40.9220   -117.108  HOT POT (BLOSSOM HOT SPRINGS)        136   58        19       156      4  WINNEMUCCA             HOT POT 7.5                  
NV   40.3890   -119.402  HOT SEEPS (SAN EMIDIO DESERT)        203   95      null       138     10  LOVELOCK               (KUMIVA PEAK 15)             
NV   41.1450   -114.994  HOT SPRING                             H    H      null       null    14  WELLS                  OXLEY PEAK 7.5               
NV   41.9800   -114.376  HOT SPRING                            86   30      null       null     1  WELLS                  GOLLAHER MOUNTAIN 15         
NV   35.9440   -114.731  HOT SPRING                            78   26      null       null     3  KINGMAN                RINGBOLT RAPIDS 7.5          
NV   35.9640   -114.743  HOT SPRING                            82   28      null       null     2  KINGMAN                RINGBOLT RAPIDS 7.5          
NV   38.8590   -119.175  HOT SPRING                             H    H      null       null     4  WALKER LAKE            YERINGTON 15                 
NV   39.0410   -116.663  HOT SPRING                           124   51      null       null    13  MILLETT                DIANAS PUNCH BOWL 15         
NV   40.3160   -116.433  HOT SPRING                           186   86      null       null    13  WINNEMUCCA             FRENCHIE CREEK 15            
NV   41.1750   -115.278  HOT SPRING                             H    H        29       null     7  WELLS                  TWIN BUTTES 7.5              
NV   41.1900   -115.287  HOT SPRING                            97   36      null       null     6  WELLS                  TWIN BUTTES 7.5              
NV   40.6730   -116.838  HOT SPRINGS                          122   50      null       null     6  WINNEMUCCA             BATTLE MOUNTAIN 15           
NV   41.2610   -115.305  HOT SPRINGS                          126   52        28       null     5  WELLS                  HOT SPRINGS CREEK 7.5        
NV   40.3250   -116.058  HOT SPRINGS                           79   26        89       null    12  WINNEMUCCA             PINE VALLEY 15               
NV   41.1080   -117.578  HOT SPRINGS                          158   70      null       null     2  MCDERMITT              (BLISS 15)                   
NV   41.1830   -114.991  HOT SPRINGS                          142   61        30       null    12  WELLS                  OXLEY PEAK 7.5               
NV   35.9820   -114.748  HOT SPRINGS                           86   30      null       null     1  KINGMAN                RINGBOLT RAPIDS 7.5          
NV   39.9410   -116.681  HOT SPRINGS                          180   82        92       null     3  MILLETT                WALTI HOT SPRINGS 15         
NV   39.3160   -117.549  HOT SPRINGS                          198   92        85       159      4  MILLETT                CARROLL SUMMIT SE 7.5        
NV   39.3080   -117.552  HOT SPRINGS                          115   46      null       159      5  MILLETT                CARROLL SUMMIT SE 7.5        
NV   40.1910   -117.107  HOT SPRINGS                          127   53      null       null    16  WINNEMUCCA             THE CEDARS 15                
NV   40.1980   -117.103  HOT SPRINGS                          127   53        80       null    15  WINNEMUCCA             THE CEDARS 15                
NV   40.7610   -117.492  HOT SPRINGS                          185   85        19       157      8  WINNEMUCCA             GOLDRUN CREEK 7.5            
NV   40.6990   -116.133  HOT SPRINGS (CARLIN)                 174   79      null       165      4  WINNEMUCCA             (CARLIN 15)                  
NV   40.1830   -117.102  HOT SPRINGS RANCH                    129   54        81       null    17  WINNEMUCCA             THE CEDARS 15                
NV   41.0500   -117.100  HOT SPRINGS RANCH SPRINGS             79   26      null       null     3  MCDERMITT              null                         
NV   40.7650   -116.040  HOT SULPHUR SPRINGS                  147   64        31       null     2  WINNEMUCCA             HUNTSMAN RANCH 7.5           
NV   41.4680   -116.150  HOT SULPHUR SPRINGS (TUSCARORA)      194   90      null       164      1  MCDERMITT              TUSCARORA 15                 
NV   41.7210   -118.505  HOWARD HOT SPRING                    135   57      null       null     8  VYA                    DUFFER PEAK 15               
NV   39.4570   -119.722  HUFFAKER SPRINGS                      81   27        55       null     9  RENO                   (STEAMBOAT 7.5)              
NV   40.0030   -117.718  HYDER HOT SPRINGS                    176   80        69       null    23  WINNEMUCCA             CAIN MOUNTAIN 15             
NV   36.5650   -115.671  INDIAN SPRINGS                        78   26       151       null     2  LAS VEGAS              INDIAN SPRINGS 7.5           
NV   38.4580   -117.303  INDIAN SPRINGS                         W    W       123       null     4  TONOPAH                (SAN ANTONIO RANCH 15)       
NV   40.9290   -116.895  IZZENHOOD RANCH SPRINGS               88   31        76       null     1  WINNEMUCCA             IZZENHOOD RANCH 7.5          
NV   36.3900   -116.278  JACK RABBIT SPRING                    82   28      null       null    22  DEATH VALLEY           ASH MEADOWS 15               
NV   40.9670   -114.515  JOHNSON RANCH SPRINGS                 72   22        30       null     1  ELKO                   INDEPENDENCE VALLEY          
NV   38.5540   -115.531  KATE SPRING                           73   23       129       null    10  LUND                   BLUE EAGLE SPRINGS 15        
NV   39.4040   -116.347  KLOBE (BARTHOLOMAE) HOT SPRING       156   69        93       null     9  MILLETT                ANTELOPE PEAK 15             
NV   40.4080   -117.883  KYLE HOT SPRINGS                     171   77        66       152     12  WINNEMUCCA             KYLE HOT SPRINGS 15          
NV   36.2050   -115.141  KYLE SPRING                           75   24      null       null     5  LAS VEGAS              LAS VEGAS NW 7.5             
NV   39.2830   -114.866  LACKAWANNA HOT SPRINGS                95   35       102       null     9  ELY                    EAST ELY 7.5                 
NV   36.1730   -115.191  LAS VEGAS SPRINGS                     79   26      null       null     7  LAS VEGAS              (LAS VEGAS NW 7.5)           
NV   39.5120   -119.907  LAWTON HOT SPRINGS                   120   49      null       null     7  RENO                   VERDI 7.5                    
NV   40.6040   -117.648  LEACH HOT SPRINGS                    207   97        64       154      9  WINNEMUCCA             LEACH HOT SPRINGS 15         
NV   39.2080   -118.723  LEE HOT SPRINGS, ALLEN SPRINGS       190   88        74       143      7  RENO                   ALLEN SPRINGS 15             
NV   39.8930   -116.649  LITTLE HOT SPRINGS                     H    H      null       null     5  MILLETT                WALTI HOT SPRINGS 15         
NV   38.9370   -115.695  LITTLE WARM SPRING                    90   32      null       null     3  LUND                   DUCKWATER 15                 
NV   38.5560   -115.767  LOCKES BIG SPRING, HAY CORRAL SPR    100   38       126       null     9  LUND                   LOCKES 7.5                   
NV   36.4680   -116.325  LONGSTREET SPRING                     82   28       139       null     8  DEATH VALLEY           ASH MEADOWS 15               
NV   40.0350   -117.604  LOWER RANCH HOT SPRINGS              104   40      null       null    21  WINNEMUCCA             CAIN MOUNTAIN 15             
NV   39.7920   -114.692  LOWER SHELLBOURNE SPRING              77   25      null       null     4  ELY                    null                         
NV   41.0520   -118.717  MACFARLANE HOT SPRING                170   77      null       null    16  VYA                    KING LEAR PEAK 15            
NV   36.1470   -115.893  MANSE RANCH SPRING                    75   24       141       null     8  LAS VEGAS              PAHRUMP 15                   
NV   40.0800   -117.604  MCCOY SPRINGS                        120   49      null       null    20  WINNEMUCCA             CAIN MOUNTAIN 15             
NV   39.4130   -114.779  MCGILL SPRING                         84   29       101       null     8  ELY                    MCGILL 7.5                   
NV   39.0280   -117.136  MCLEOD RANCH HOT SPRING              180   82       114       null     6  MILLETT                MILLETT RANCH 15             
NV   41.7880   -114.735  MINERAL HOT SPRING                   140   60        22       167      6  WELLS                  (DELAPLAIN 15)               
NV   39.4840   -119.804  MOANA SPRINGS                        199   93        55       140      8  RENO                   MT. ROSE NE 7.5              
NV   36.7100   -114.714  MOAPA WARM SPRINGS                    90   32       150       null     2  LAS VEGAS              MOAPA 15                     
NV   39.6650   -114.807  MONTE NEVA HOT SPRINGS               176   80        98       null     5  ELY                    null                         
NV   38.3520   -115.181  MOON RIVER SPRING                     92   33       134       null    18  LUND                   HOT CREEK BUTTE 7.5          
NV   38.5940   -115.138  MOORMAN SPRING                       100   38       134       null     6  LUND                   MOORMAN SPRING 7.5           
NV   40.3130   -117.070  MOUND SPRINGS                        109   43        79       null    14  WINNEMUCCA             MC COY 15                    
NV   40.6530   -119.378  MUD SPRINGS                          184   84        39       137      9  LOVELOCK               (GERLACH 15)                 
NV   36.7220   -114.716  MUDDY SPRING                          90   32      null       null     1  LAS VEGAS              MOAPA 15                     
NV   41.3540   -119.116  MUSTANG SPRINGS                       73   23      null       null    10  VYA                    BIG MOUNTAIN 7.5             
NV   38.8990   -119.410  NEVADA (HINDS) HOT SPRINGS           144   62        61       null     3  WALKER LAKE            WELLINGTON 15                
NV   39.1590   -119.737  NEVADA STATE PRISON SPRING            75   24        59       null    18  RENO                   (NEW EMPIRE 7.5)             
NV   41.9290   -114.071  NILE SPRING                          109   43        24       null     3  WELLS                  GOOSE CREEK 15               
NV   41.7060   -118.261  NINEMILE SPRINGS                      79   26      null       null     9  VYA                    QUINN RIVER CROSSING 15      
NV   38.5310   -116.405  OLD DUGAN RANCH HOT SPRINGS          102   39      null       null     6  TONOPAH                LITTLE FISH LAKE 7.5         
NV   36.2070   -115.983  PAHRUMP (BENNETTS) SPRING             77   25       140       null     4  LAS VEGAS              PAHRUMP 15                   
NV   41.8090   -118.861  PAINTED HILLS MINE                   131   55      null       null     4  VYA                    (RAILROAD POINT 15)          
NV   37.8070   -114.380  PANACA SPRING                         88   31       145       null     3  CALIENTE               PANACA 7.5                   
NV   36.4640   -116.319  PARENT SPRINGS                        93   34      null       null     9  DEATH VALLEY           ASH MEADOWS 15               
NV   39.5970   -119.110  PATUA HOT SPRINGS (FERNLEY)          187   86      null       146      6  RENO                   (TWO TIPS 15)                
NV   37.8220   -117.480  PEARL HOT SPRINGS                     97   36      null       null     4  GOLDFIELD              PAYMASTER RIDGE 7.5          
NV   41.3850   -116.058  PETAINI SPRINGS                        W    W      null       null     2  MCDERMITT              (TUSCARORA 15)               
NV   39.5590   -117.427  PETERSONS MILL HOT SPRING              H    H      null       null     3  MILLETT                MOUNT AIRY 7.5               
NV   41.3630   -118.788  PINTO HOT SPRINGS                    199   93      null       132     13  VYA                    PINTO MOUNTAIN 7.5           
NV   36.4020   -116.274  POINT OF ROCKS SPRINGS, KING SPRING   91   33      null       null    21  DEATH VALLEY           ASH MEADOWS 15               
NV   39.0800   -116.639  POTTS RANCH HOT SPRINGS              113   45       119       null    12  MILLETT                DIANAS PUNCH BOWL 15         
NV   38.9270   -115.082  PRESTON SPRINGS                       70   21       104       null     4  LUND                   null                         
NV   39.9800   -119.502  PYRAMID ISLAND HOT SPRING           null null      null       null     1  RENO                   (SUTCLIFFE 15)               
NV   40.5920   -116.157  RAINE RANCH SPRINGS                    W    W      null       null     8  WINNEMUCCA             CARLIN 15                    
NV   40.9520   -114.751  RALPHS WARM SPRINGS                   86   30      null       null     2  ELKO                   SNOW WATER LAKE NE 7.5       
NV   37.9960   -116.389  REVEILLE MILL SPRING                  84   29      null       null     1  GOLDFIELD              (KAWICH PEAK 15)             
NV   41.7750   -115.921  RIZZI RANCH HOT SPRING               106   41        21       null     2  WELLS                  MOUNTAIN CITY 15             
NV   36.3780   -114.443  ROGERS SPRING                         82   28      null       null     6  LAS VEGAS              OVERTON BEACH 15             
NV   36.4790   -116.326  ROGERS SPRING                         82   28      null       null     7  DEATH VALLEY           ASH MEADOWS 15               
NV   40.8730   -117.937  ROSE CREEK SPRING                     83   28      null       null     5  WINNEMUCCA             ROSE CREEK 15                
NV   41.8770   -115.628  ROWLAND HOT SPRINGS                  104   40        22       null     1  WELLS                  ROWLAND 15                   
NV   41.8670   -114.692  SAN JACINTO RANCH SPRING             148   64        22       null     5  WELLS                  (DELAPLAIN 15)               
NV   37.9060   -118.171  SAND SPRING                           74   23      null       null     2  MARIPOSA               DAVIS MOUNTAIN 15            
NV   37.7410   -115.753  SAND SPRING                           86   30      null       null     1  CALIENTE               WHITE BLOTCH SPRINGS 15      
NV   39.2810   -118.420  SAND SPRINGS                           H    H        75       null     6  RENO                   FOURMILE FLAT 7.5            
NV   39.0580   -119.742  SARATOGA HOT SPRING                  122   50      null       null    21  RENO                   MC TARNAHAN HILL 7.5         
NV   38.2550   -116.829  SAULSBURY WARM SPRING                 86   30      null       null    10  TONOPAH                SAULSBURY BASIN 7.5          
NV   39.4580   -114.756  SCHOOLHOUSE SPRING                    84   29      null       null     7  ELY                    MCGILL 7.5                   
NV   36.4330   -116.308  SCRUGGS SPRINGS                       86   30      null       null    12  DEATH VALLEY           ASH MEADOWS 15               
NV   37.0160   -117.211  SEEP                                  77   25      null       null     6  GOLDFIELD              BONNIE CLAIRE SW 7.5         
NV   36.5670   -114.446  SEEP                                  70   21      null       null     3  LAS VEGAS              (OVERTON 15)                 
NV   41.7320   -119.785  SEEPS (HILLS WARM SPRING)             83   28        35       null     2  VYA                    ALKALI LAKE 7.5              
NV   39.9950   -117.854  SENATOR FUMAROLES                      B    B      null       null     1  MILLETT                (HUMBOLDT SALT MARSH 15)     
NV   39.9430   -116.073  SHIPLEY HOT SPRING                   106   41        91       null     2  MILLETT                GARDEN VALLEY 15             
NV   37.7610   -117.632  SILVERPEAK HOT SPRING                118   48       111       null     5  GOLDFIELD              SILVERPEAK 15                
